Month,New York,New Jersey,California,Arizona
Jan-14,7,16,126,34
Feb-14,8,18,131,33
Mar-14,11,24,191,43
Apr-14,13,25,210,46
May-14,15,28,236,50
Jun-14,16,28,242,48
Jul-14,18,30,257,47
Aug-14,17,29,259,48
Sep-14,17,26,243,47
Oct-14,15,23,231,49
Nov-14,11,18,191,45
Dec-14,13,18,178,46
Jan-15,13,17,165,40
Feb-15,15,20,183,44
Mar-15,22,27,271,58
Apr-15,28,31,305,65
May-15,33,35,337,71
Jun-15,33,34,353,69
Jul-15,37,37,376,70
Aug-15,38,37,379,69
Sep-15,34,32,344,64
Oct-15,28,27,316,61
Nov-15,20,21,263,56
Dec-15,19,19,236,52
Jan-16,24,23,245,56
Feb-16,29,26,303,64
Mar-16,44,40,404,79
Apr-16,52,45,458,87
May-16,56,46,517,99
Jun-16,61,53,534,95
Jul-16,63,56,559,95
Aug-16,62,55,539,91
Sep-16,53,46,480,83
Oct-16,43,41,433,81
Nov-16,31,33,360,70
Dec-16,29,28,316,64
Jan-17,33,28,329,68
Feb-17,43,42,350,74
Mar-17,60,56,539,104
Apr-17,70,64,598,116
May-17,78,69,665,128
Jun-17,82,77,684,127
Jul-17,85,77,700,120
Aug-17,81,74,674,116
Sep-17,69,65,605,113
Oct-17,56,54,553,106
Nov-17,40,42,428,86
Dec-17,35,36,403,83
Jan-18,42,42,414,91
Feb-18,50,47,460,94
Mar-18,71,70,629,127
Apr-18,84,80,727,142
May-18,94,86,798,155
Jun-18,98,93,822,151
Jul-18,104,98,830,143
Aug-18,95,90,803,141
Sep-18,76,68,723,134
Oct-18,64,62,657,121
Nov-18,45,47,518,111
Dec-18,45,44,469,100
Jan-19,51,50,493,108
Feb-19,62,62,523,109
Mar-19,89,90,762,154
Apr-19,100,98,863,171
May-19,111,106,946,190
Jun-19,114,112,972,184
Jul-19,123,118,1011,175
Aug-19,115,107,984,170
Sep-19,98,93,864,157
Oct-19,75,72,788,146
Nov-19,55,59,611,121
Dec-19,47,50,544,111
Jan-20,58,60,594,128
Feb-20,71,72,675,138
Mar-20,98,97,873,169
Apr-20,109,109,986,196
May-20,128,126,1124,211
Jun-20,127,131,1120,205
Jul-20,130,130,1161,193
Aug-20,119,116,1096,186
Sep-20,103,100,960,173
Oct-20,80,82,874,165
Nov-20,59,65,717,145
Dec-20,54,57,642,140
Jan-21,64,68,685,148
Feb-21,67,64,741,159
Mar-21,114,117,1041,205
Apr-21,125,123,1169,230
May-21,140,138,1299,253
Jun-21,140,140,1300,242
Jul-21,139,139,1325,214
Aug-21,123,114,1235,221
Sep-21,106,100,1088,203
Oct-21,79,74,959,198
Nov-21,69,74,844,180
Dec-21,63,65,736,169
Jan-22,73,64,819,187
Feb-22,90,83,889,194
Mar-22,125,116,1265,227
Apr-22,136,134,1365,264
May-22,150,142,1516,289
Jun-22,153,148,1514,271
Jul-22,163,153,1581,258
Aug-22,152,146,1520,253
Sep-22,128,124,1352,240
Oct-22,103,99,1290,244
Nov-22,77,82,1023,213
Dec-22,72,72,877,200
